python3-6103    [001] ..s..  7297.270405: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100
<idle>-0       [001] ..s..  7399.263365: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7399.263380: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7399.263382: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7405.263238: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7405.263259: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7405.263261: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7411.262346: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7411.262360: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7411.262362: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7417.262137: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7417.262153: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7417.262155: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7423.261568: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7423.261588: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7423.261590: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

ICMP Packet from 35.202.28.101 to 10.128.0.5
ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 04:56:48.434786] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 04:57:52.371243] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 04:58:29.426987] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 04:59:13.010529] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:00:44.154858] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:06:53.072246] ICMP Packet from 35.202.28.101 to 10.128.0.5
[2024-10-01 05:07:14.415957] ICMP Packet from 35.202.28.101 to 10.128.0.5
ICMP Packet from 35.202.28.101 to 10.128.0.5
<idle>-0       [001] ..s..  7429.261122: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7429.261128: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7429.261130: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7435.260829: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7435.260832: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7435.260833: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7441.260273: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7441.260275: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7441.260276: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7447.259780: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7447.259782: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7447.259784: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7449.388194: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7449.388198: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7449.388200: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7449.388201: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7449.388203: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7453.259895: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7453.259898: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7453.259900: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7455.565417: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7455.565421: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7455.565422: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7455.565424: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7455.565425: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7459.259215: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7459.259218: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7459.259219: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7465.259131: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7465.259134: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7465.259135: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7471.258424: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7471.258428: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7471.258429: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7477.258773: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7477.258776: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7477.258778: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7483.257443: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7483.257446: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7483.257447: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7489.257295: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7489.257297: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7489.257299: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7495.256044: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7495.256048: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7495.256050: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

CPU:1 [LOST 385 EVENTS]
<idle>-0       [001] ..s..  8220.414411: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8220.414415: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8220.414417: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8220.414418: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8220.414419: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  8221.202811: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8221.202813: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8221.202815: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8227.202810: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8227.202813: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8227.202814: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8233.202164: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8233.202167: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8233.202168: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8239.202309: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8239.202311: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8239.202312: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8245.201920: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8245.201923: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8245.201925: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8251.202594: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8251.202597: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8251.202598: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8257.201250: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8257.201253: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8257.201254: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8263.200382: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8263.200385: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8263.200386: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8269.200190: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8269.200192: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8269.200193: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8275.199909: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8275.199912: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8275.199913: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8281.199302: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8281.199304: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8281.199305: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8287.198682: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8287.198685: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8287.198686: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

python3-7990    [001] ..s..  8293.198684: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

python3-7990    [001] ..s..  8293.198686: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

python3-7990    [001] ..s..  8293.198688: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8299.197842: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8299.197845: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8299.197846: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8305.197826: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8305.197830: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8305.197832: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8311.196986: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8311.196989: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  8311.196990: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  8314.788597: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8314.788600: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8314.788601: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8314.788602: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  8314.788604: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

